"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Send Talker Alias","ARC4","ex_emg_kind"
"73","Sterling RkMtn","445.10000","440.10000","D-Digital","Low","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","8","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"74","Sterling North","445.10000","440.10000","D-Digital","Low","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","8","1","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"75","Taos Local","442.17500","447.17500","D-Digital","High","12.5K","Off","Off","Taos Local","Group Call","715","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","5","2","RMHAM New Mexico","Taos Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"76","Taos New Mexico","442.17500","447.17500","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","5","2","RMHAM New Mexico","Taos Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"77","Taos Rocky Mtn","442.17500","447.17500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","5","1","RMHAM New Mexico","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"78","Taos South","442.17500","447.17500","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","5","2","RMHAM New Mexico","Taos Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"79","Thorodin Central","446.80000","441.80000","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"80","Thorodin Rk Mtn","446.80000","441.80000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"81","Vail Central","445.07500","440.07500","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"82","Vail Rk Mtn","445.07500","440.07500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
